Time,VCC1_VOLTAGE,CONTROLLER_TEMPERATURE,VCC2_CURRENT,VCC1_CURRENT,VCC2_VOLTAGE,VCC3_CURRENT,VCC3_VOLTAGE,BATTERY2_VOLTAGE,SUN_X,SUN_Z,BATTERY2_CURRENT,BATTERY1_CURRENT,BATTERY_TEMPERATURE,BATTERY1_VOLTAGE
01/14/22 03:11:28PM,1.896,-0.06,53,266,2.184,0,1.932,4.104,0,0,0,223,-6.56,0.198
01/14/22 03:13:28PM,2.292,0.62,127,206,2.208,0,1.86,4.14,0,0,0,130,-4.81,0.09
01/14/22 03:15:28PM,1.872,1.06,207,0,2.16,0,1.656,4.104,0,0,0,-51,-3.87,4.554
01/14/22 03:20:28PM,1.908,2.87,60,12,1.92,0,1.656,4.104,0,0,0,-140,-0.5,4.464
01/14/22 04:11:28PM,0.036,9.93,0,0,0.036,0,0.036,4.068,0,0,0,-232,3.06,4.356
01/14/22 04:48:27PM,2.016,0.43,120,11,2.052,0,1.872,4.086,0,0,0,-108,-5.37,4.5
01/14/22 04:50:27PM,2.16,1.06,471,1,1.872,0,1.968,4.14,0,0,0,162,-4.06,0.09
01/14/22 06:01:27PM,0.024,3.62,0,0,0.012,0,0.012,4.068,0,0,0,-223,-7.81,4.194
01/14/22 06:02:27PM,0.012,2.81,0,0,0.012,0,0.012,4.068,0,0,0,-222,-8.81,4.176
01/14/22 06:04:27PM,0.036,1.87,0,0,0.012,0,0.036,4.068,0,0,0,-222,-9.87,4.14
01/14/22 06:21:27PM,2.016,-0.31,287,3,2.244,0,1.908,4.122,0,0,0,25,-7,4.572
01/14/22 06:22:27PM,2.064,0,317,461,2.232,0,2.04,4.212,0,0,0,316,-6.31,0.252
01/14/22 06:24:27PM,1.98,0.62,65,56,1.98,0,1.704,4.104,0,0,0,-63,-4.75,4.572
01/14/22 07:35:27PM,0,3.87,0,0,0.012,0,0,4.068,0,0,0,-223,-7.25,4.176
01/14/22 07:37:27PM,0.012,3,0,0,0.012,0,0.012,4.068,0,0,0,-222,-8.31,4.158
01/14/22 07:39:27PM,0,2.18,0,0,0.012,0,0.012,4.068,0,0,0,-222,-9.25,4.14
01/14/22 09:06:27PM,0,5.75,0,0,0,0,0,4.068,0,0,0,-226,-4.93,4.212
