gs_name,distance_km,elevation,time,rssi,snr,crc
k5qxj_1,973,27.68,13:08:22.271,-135.25,-19.25,0
NWO_GS1,1448,14.45,13:08:22.277,-136.25,-16.25,0
xayacan_tinygs_433,1652,10.86,13:08:22.277,-138.5,-20.5,0
KF1D_433_1,1883,7.56,13:08:22.214,-143.25,-21.25,0
TinyGSGuy_433,644,50.00,13:08:22.297,-123.75,-17.75,0
GriffinStation,578,59.94,13:06:04.302,-140,-17,1
W4WAX,672,47.01,13:06:04.287,-117.25,-12.25,0
GGMkeTinyGS,896,31.18,13:06:04.286,-132.25,-17.25,0
JAB_433,966,28.00,13:06:04.290,-141.25,-20.25,0
ve3gtc_TinyGS,1078,23.81,13:06:04.291,-125,-13,0
GGMkeTinyGS2,894,31.28,13:06:04.283,-137.75,-21.75,0
RLTinyGS,693,44.90,13:06:04.287,-140.25,-21.25,0
W9ETC_GS1,1239,19.12,13:06:04.286,-135.25,-19.25,0
WA4EFH,1108,22.85,13:06:04.286,-135,-21,0
VA2ZAC,1168,21.05,13:06:04.290,-140.75,-21.75,0
KG4EUF_433_T_1,772,38.42,13:06:04.285,-106.5,-5.5,0
N8RJH_GS,755,39.67,13:05:52.270,-133.25,-21.25,0
Wheezs,865,32.77,13:06:04.292,-116.75,-17.75,0
NWO_GS1,638,50.88,13:06:04.291,-128.5,-8.5,0
VA2EC,1401,15.43,13:06:04.290,-141.75,-20.75,0
N3TWI_433,565,62.70,13:06:04.309,-138.5,-16.5,1
KB4YTM,854,33.34,13:06:04.292,-136.75,-16.75,0
PCFL,1173,20.89,13:06:04.293,-141.5,-21.5,0
KA8YES,557,64.48,13:06:04.307,-128,-8,1
NS1C_433_1,1428,14.87,13:06:04.293,-136.5,-16.5,0
RHOD1_TinyGS433,721,42.35,13:06:04.311,-132.75,-14.75,1
TinyGS_WQ5O,928,29.66,13:06:04.291,-136.5,-21.5,0
Ghost402_433,773,38.35,13:06:04.309,-136.75,-14.75,1
W3JCE_433,2149,4.40,13:06:04.261,-144.25,-21.25,0
K0IDT_433,1419,15.07,13:06:04.293,-142.5,-21.5,0
N1GMJ,887,31.69,13:04:01.298,-114.75,-8.75,1
Hopkinton_GS,898,31.13,13:04:01.339,-136.75,-15.75,0
KC2DSH,930,29.61,13:04:01.338,-138.75,-17.75,0
KD2AFV,920,30.09,13:04:01.340,-137.75,-16.75,0
Daedalus9,840,34.17,13:04:01.343,-95.5,-16.5,0
N3TWI_433,860,33.06,13:04:01.338,-141.25,-21.25,0
N1ZKO_433_2,925,29.85,13:04:00.653,-132.75,-16.75,0
KD2JAL_1,929,29.66,13:04:01.340,-130.75,-14.75,0
N1IHL,878,32.14,13:04:01.339,-109,-19,0
W4WAX,1412,15.22,13:04:01.344,-125.5,-21.5,0
greentn,794,36.99,13:04:01.336,-140.5,-19.5,0
TinyGS_DECLECTIX_002,1015,26.10,13:04:01.353,-109.75,-12.75,0
KA8YES,862,32.98,13:04:01.344,-140.75,-20.75,0
VE3TTU_4,657,48.64,13:04:01.309,-137,-21,0
N3KFL,819,35.44,13:04:01.337,-142,-21,0
RLTinyGS,744,40.56,13:04:01.339,-140.75,-20.75,0
KG4EUF_433_T_1,1255,18.77,13:04:01.340,-119,-18,0
ve3gtc_TinyGS,623,52.90,13:04:01.361,-110.5,-2.5,1
RHOD1_TinyGS433,919,30.12,13:04:01.340,-139.25,-21.25,0
AT90TinyGS0,1211,19.90,13:04:01.293,-121.75,-21.75,0
Ghost402_433,722,42.33,13:04:01.356,-139.5,-17.5,1
N3CX_TinyGS,806,36.21,13:04:01.342,-142.25,-21.25,0
NWO_GS1,805,36.29,13:04:01.361,-136,-16,1
CAJVN,666,47.73,13:04:01.365,-138.25,-20.25,0
K0KOC,974,27.72,13:04:01.341,-141.25,-21.25,0
VE3WNP,616,53.86,13:04:01.345,-135.75,-14.75,0
HS6NDK_GS,554,62.98,12:32:42.452,-135,-14,1
HS0NNU_GS,548,64.30,12:32:42.438,-132.75,-15.75,0
RDC_TinyGS,550,64.02,12:32:42.436,-142.5,-20.5,0
HS6NDK_STI,669,46.18,12:32:42.431,-137.25,-21.25,0
HS6NDK_GS,587,56.69,12:32:09.800,-130.5,-9.5,1
9W2DVZ,1386,15.35,12:32:09.773,-144.25,-21.25,0
TEV_Joke,586,56.92,12:32:09.785,-142,-22,0
Wak_Mid,1140,21.38,12:32:09.766,-134.75,-21.75,0
HS0NNU_GS,581,57.77,12:32:09.792,-139,-21,0
RDC_TinyGS,587,56.69,12:32:09.783,-134,-13,0
YC1RIK,856,32.71,12:28:31.504,-134,-13,1
9M2OCW,694,44.06,12:28:31.462,-137.75,-16.75,0
9W2DVZ,688,44.57,12:28:31.460,-141.5,-18.5,0
YD2CLX,1209,19.60,12:28:31.468,-142.5,-20.5,0
KD2AFV,1701,10.14,11:32:39.357,-137.25,-16.25,1
KB1PVH,1556,12.48,11:32:39.331,-139.75,-18.75,0
N1GMJ,1632,11.22,11:32:39.213,-121,-15,0
VA2ZAC,1891,7.47,11:32:39.335,-140.75,-20.75,0
ve3gtc_TinyGS,1989,6.23,11:32:39.332,-129.75,-17.75,0
KG4EUF_433_T_1,1668,10.66,11:32:39.332,-115.25,-14.25,0
BX6AP,506,79.51,11:00:14.537,-116.5,-9.5,1
