SNR, SatLat, SatLong, SatAlt, NORAD, ServerTime, Station
-3,55.39723226912893,5.082600250117971,561.1421087612443,46494,1654518654935,HA7BN_Vac
-3,51.73484533610973,6.76159354754245,559.5407002016264,46494,1654518594070,HA7BN_Vac
-3,47.9928140746961,8.249667264900157,557.9008967694708,46494,1654518533143,HA7BN_Vac
-3,44.2357331916804,9.571392983440495,556.2721192520958,46494,1654518472272,HA7BN_Vac
-3,40.46628115839761,10.765519691469885,554.6776007741864,46494,1654518411363,HA7BN_Vac
-3,36.68645575341737,11.860279108227605,553.140461876832,46494,1654518350463,HA7BN_Vac
-3,32.8978235752843,12.876782502714159,551.6833221271672,46494,1654518289560,HA7BN_Vac
-3,49.207098527272755,31.723495607513083,558.3872800313484,46494,1654512808446,HA7BN_Vac
-3,45.45451240974984,33.09425357203912,556.7527863287387,46494,1654512747527,HA7BN_Vac
-3,33.15118203499369,2.940945301136257,568.0536627642396,46494,1654479888690,HA7BN_Vac
-3,36.92194554263368,3.95842559558244,568.7435965342338,46494,1654479827810,HA7BN_Vac
-3,40.684772306051414,5.054787702893591,569.4429327686476,46494,1654479766948,HA7BN_Vac
-3,44.37671816111549,6.230738935075378,570.1219163780033,46494,1654479706019,HA7BN_Vac
-3,48.11893192925473,7.553481238683771,570.7846060245711,46494,1654479645153,HA7BN_Vac
-3,51.84717895822461,9.043198495155696,571.4008741378057,46494,1654479584247,HA7BN_Vac
-3,55.55776153955775,10.754878141071995,571.9525373277447,46494,1654479523373,HA7BN_Vac
-3,59.24523791824497,12.768847108032517,572.4222645276586,46494,1654479462424,HA7BN_Vac
-3,62.901219390948846,15.206956026737315,572.7939094406765,46494,1654479401552,HA7BN_Vac
-3,46.90654435021867,31.043904813319198,570.5634105695017,46494,1654473920402,HA7BN_Vac
-3,50.63967746339066,32.47436487777337,571.19376969318,46494,1654473859499,HA7BN_Vac
-3,54.35649995002487,34.10672740101499,571.765410135863,46494,1654473798585,HA7BN_Vac
-3,58.052234616914205,36.01175516745899,572.2606996847608,46494,1654473737710,HA7BN_Vac
-2,62.56897398579112,-0.16946389562159436,563.4942230529823,46494,1654432601426,HA7BN_Vac
-2,58.89921087626545,2.2286939526442278,561.9399435604491,46494,1654432540585,HA7BN_Vac
